policy,projection,budget_bpw,transition,actions
bidirectional_ab,down,1.25,first_a,17950
bidirectional_ab,down,1.25,direct_ab,1811
bidirectional_ab,down,1.25,upgrade_via_b,13206
bidirectional_ab,gate,1.5,first_a,125632
bidirectional_ab,gate,1.5,upgrade_via_b,112922
bidirectional_ab,gate,1.5,direct_ab,3279
bidirectional_ab,up,1.5,first_a,134798
bidirectional_ab,up,1.5,upgrade_via_b,98527
bidirectional_ab,down,1.5,first_a,20655
bidirectional_ab,down,1.5,direct_ab,2222
bidirectional_ab,down,1.5,upgrade_via_b,16197
bidirectional_ab,gate,2.0,first_a,139585
bidirectional_ab,gate,2.0,upgrade_via_b,139585
bidirectional_ab,gate,2.0,direct_ab,3689
bidirectional_ab,up,2.0,first_a,143274
bidirectional_ab,up,2.0,upgrade_via_b,143274
bidirectional_ab,down,2.0,first_a,28044
bidirectional_ab,down,2.0,direct_ab,3818
bidirectional_ab,down,2.0,upgrade_via_b,28044
bidirectional_ab,up,0.25,first_a,26372
bidirectional_ab,up,0.25,upgrade_via_b,5359
parity_abq,up,0.25,first_a,26001
parity_abq,up,0.25,upgrade_via_b,5214
parity_abq,down,0.25,first_a,7115
parity_abq,down,0.25,direct_ab,440
parity_abq,down,0.25,upgrade_via_b,3112
parity_abq,gate,0.5,first_a,43544
parity_abq,gate,0.5,upgrade_via_b,27108
parity_abq,gate,0.5,direct_ab,503
parity_abq,up,0.5,first_a,54231
parity_abq,up,0.5,upgrade_via_b,14849
parity_abq,down,0.5,first_a,10703
parity_abq,down,0.5,direct_ab,825
parity_abq,down,0.5,upgrade_via_b,6021
parity_abq,gate,0.75,first_a,63445
parity_abq,gate,0.75,upgrade_via_b,44980
parity_abq,gate,0.75,direct_ab,1061
parity_abq,up,0.75,first_a,82970
parity_abq,up,0.75,upgrade_via_b,27043
parity_abq,down,0.75,first_a,14035
parity_abq,down,0.75,direct_ab,1206
parity_abq,down,0.75,upgrade_via_b,8934
parity_abq,gate,1.0,first_a,85050
parity_abq,gate,1.0,upgrade_via_b,63534
parity_abq,gate,1.0,direct_ab,1701
parity_abq,up,1.0,first_a,103064
parity_abq,up,1.0,upgrade_via_b,48911
parity_abq,down,1.0,first_a,16780
parity_abq,down,1.0,direct_ab,1526
parity_abq,down,1.0,upgrade_via_b,11545
parity_abq,gate,1.25,first_a,111997
parity_abq,gate,1.25,upgrade_via_b,94730
parity_abq,gate,1.25,direct_ab,2555
parity_abq,up,1.25,first_a,120933
parity_abq,up,1.25,upgrade_via_b,67373
parity_abq,down,1.25,first_a,17741
parity_abq,down,1.25,direct_ab,1714
parity_abq,down,1.25,upgrade_via_b,12627
parity_abq,gate,1.5,first_a,126782
parity_abq,gate,1.5,upgrade_via_b,117333
parity_abq,gate,1.5,direct_ab,3305
parity_abq,up,1.5,first_a,134236
parity_abq,up,1.5,upgrade_via_b,96531
parity_abq,down,1.5,first_a,20419
parity_abq,down,1.5,direct_ab,2169
parity_abq,down,1.5,upgrade_via_b,15935
parity_abq,gate,2.0,first_a,139585
parity_abq,gate,2.0,upgrade_via_b,139585
parity_abq,gate,2.0,direct_ab,3689
parity_abq,up,2.0,first_a,143274
parity_abq,up,2.0,upgrade_via_b,143274
parity_abq,down,2.0,first_a,28044
parity_abq,down,2.0,direct_ab,3818
parity_abq,down,2.0,upgrade_via_b,28044
parity_abq,gate,0.25,first_a,19893
parity_abq,gate,0.25,upgrade_via_b,10442
parity_abq,gate,0.25,direct_ab,190
bidirectional_ab,down,1.25,first_b,30
bidirectional_ab,down,1.25,upgrade_via_a,30
bidirectional_ab,down,1.5,first_b,34
bidirectional_ab,down,1.5,upgrade_via_a,34
bidirectional_ab,down,2.0,first_b,59
bidirectional_ab,down,2.0,upgrade_via_a,59
bidirectional_ab,down,0.25,first_b,2
bidirectional_ab,down,0.25,upgrade_via_a,2
bidirectional_ab,down,0.5,first_b,12
bidirectional_ab,down,0.5,upgrade_via_a,12
bidirectional_ab,down,0.75,first_b,14
bidirectional_ab,down,0.75,upgrade_via_a,14
bidirectional_ab,down,1.0,first_b,21
bidirectional_ab,down,1.0,upgrade_via_a,21
parity_abq,down,0.75,first_b,11
parity_abq,down,0.75,upgrade_via_a,9
parity_abq,down,1.0,first_b,19
parity_abq,down,1.0,upgrade_via_a,17
parity_abq,down,1.25,first_b,31
parity_abq,down,1.25,upgrade_via_a,27
parity_abq,down,1.5,first_b,37
parity_abq,down,1.5,upgrade_via_a,33
parity_abq,down,2.0,first_b,59
parity_abq,down,2.0,upgrade_via_a,59
parity_abq,down,0.25,first_b,3
parity_abq,down,0.25,upgrade_via_a,3
parity_abq,down,0.5,first_b,8
parity_abq,down,0.5,upgrade_via_a,8
parity_abq_shared_ab_layout,gate,0.25,first_a,21099
parity_abq_shared_ab_layout,gate,0.25,upgrade_via_b,10832
parity_abq_shared_ab_layout,gate,0.25,direct_ab,155
parity_abq_shared_ab_layout,down,0.25,first_a,6856
parity_abq_shared_ab_layout,down,0.25,direct_ab,416
parity_abq_shared_ab_layout,down,0.25,upgrade_via_b,3030
parity_abq_shared_ab_layout,gate,0.5,first_a,40656
parity_abq_shared_ab_layout,gate,0.5,upgrade_via_b,25300
parity_abq_shared_ab_layout,gate,0.5,direct_ab,543
parity_abq_shared_ab_layout,up,0.5,first_a,56624
parity_abq_shared_ab_layout,up,0.5,upgrade_via_b,15015
parity_abq_shared_ab_layout,down,0.5,first_a,10860
parity_abq_shared_ab_layout,down,0.5,direct_ab,869
parity_abq_shared_ab_layout,down,0.5,upgrade_via_b,6144
parity_abq_shared_ab_layout,gate,0.75,first_a,64717
parity_abq_shared_ab_layout,gate,0.75,upgrade_via_b,46131
parity_abq_shared_ab_layout,gate,0.75,direct_ab,1381
parity_abq_shared_ab_layout,up,0.75,first_a,80475
parity_abq_shared_ab_layout,up,0.75,upgrade_via_b,28000
parity_abq_shared_ab_layout,down,0.75,first_a,13426
parity_abq_shared_ab_layout,down,0.75,direct_ab,1181
parity_abq_shared_ab_layout,down,0.75,upgrade_via_b,8345
parity_abq_shared_ab_layout,gate,1.0,first_a,93893
parity_abq_shared_ab_layout,gate,1.0,upgrade_via_b,72865
parity_abq_shared_ab_layout,gate,1.0,direct_ab,2080
parity_abq_shared_ab_layout,up,1.0,first_a,98732
parity_abq_shared_ab_layout,up,1.0,upgrade_via_b,43003
parity_abq_shared_ab_layout,down,1.0,first_a,15674
parity_abq_shared_ab_layout,down,1.0,direct_ab,1488
parity_abq_shared_ab_layout,down,1.0,upgrade_via_b,10535
parity_abq_shared_ab_layout,gate,1.25,first_a,112795
parity_abq_shared_ab_layout,gate,1.25,upgrade_via_b,94756
parity_abq_shared_ab_layout,gate,1.25,direct_ab,2664
parity_abq_shared_ab_layout,up,1.25,first_a,118039
parity_abq_shared_ab_layout,up,1.25,upgrade_via_b,66676
parity_abq_shared_ab_layout,down,1.25,first_a,17950
parity_abq_shared_ab_layout,down,1.25,direct_ab,1811
parity_abq_shared_ab_layout,down,1.25,upgrade_via_b,13206
parity_abq_shared_ab_layout,gate,1.5,first_a,125632
parity_abq_shared_ab_layout,gate,1.5,upgrade_via_b,112922
parity_abq_shared_ab_layout,gate,1.5,direct_ab,3279
parity_abq_shared_ab_layout,up,1.5,first_a,134798
parity_abq_shared_ab_layout,up,1.5,upgrade_via_b,98527
parity_abq_shared_ab_layout,down,1.5,first_a,20655
parity_abq_shared_ab_layout,down,1.5,direct_ab,2222
parity_abq_shared_ab_layout,down,1.5,upgrade_via_b,16197
parity_abq_shared_ab_layout,gate,2.0,first_a,139585
parity_abq_shared_ab_layout,gate,2.0,upgrade_via_b,139585
parity_abq_shared_ab_layout,gate,2.0,direct_ab,3689
parity_abq_shared_ab_layout,up,2.0,first_a,143274
parity_abq_shared_ab_layout,up,2.0,upgrade_via_b,143274
parity_abq_shared_ab_layout,down,2.0,first_a,28044
parity_abq_shared_ab_layout,down,2.0,direct_ab,3818
parity_abq_shared_ab_layout,down,2.0,upgrade_via_b,28044
parity_abq_shared_ab_layout,up,0.25,first_a,26372
parity_abq_shared_ab_layout,up,0.25,upgrade_via_b,5359
parity_abq_shared_ab_layout,down,1.25,first_b,30
parity_abq_shared_ab_layout,down,1.25,upgrade_via_a,30
parity_abq_shared_ab_layout,down,1.5,first_b,34
parity_abq_shared_ab_layout,down,1.5,upgrade_via_a,34
parity_abq_shared_ab_layout,down,2.0,first_b,59
parity_abq_shared_ab_layout,down,2.0,upgrade_via_a,59
parity_abq_shared_ab_layout,down,0.25,first_b,2
parity_abq_shared_ab_layout,down,0.25,upgrade_via_a,2
parity_abq_shared_ab_layout,down,0.5,first_b,12
parity_abq_shared_ab_layout,down,0.5,upgrade_via_a,12
parity_abq_shared_ab_layout,down,0.75,first_b,14
parity_abq_shared_ab_layout,down,0.75,upgrade_via_a,14
parity_abq_shared_ab_layout,down,1.0,first_b,21
parity_abq_shared_ab_layout,down,1.0,upgrade_via_a,21
ordered_a_with_direct_ab,gate,0.25,first_a,21099
ordered_a_with_direct_ab,gate,0.25,upgrade_via_b,10832
ordered_a_with_direct_ab,gate,0.25,direct_ab,155
ordered_a_with_direct_ab,down,0.25,first_a,6856
ordered_a_with_direct_ab,down,0.25,direct_ab,418
ordered_a_with_direct_ab,down,0.25,upgrade_via_b,3030
ordered_a_with_direct_ab,gate,0.5,first_a,40656
ordered_a_with_direct_ab,gate,0.5,upgrade_via_b,25300
ordered_a_with_direct_ab,gate,0.5,direct_ab,543
ordered_a_with_direct_ab,up,0.5,first_a,56624
ordered_a_with_direct_ab,up,0.5,upgrade_via_b,15015
ordered_a_with_direct_ab,down,0.5,first_a,10863
ordered_a_with_direct_ab,down,0.5,direct_ab,878
ordered_a_with_direct_ab,down,0.5,upgrade_via_b,6147
ordered_a_with_direct_ab,gate,0.75,first_a,64717
ordered_a_with_direct_ab,gate,0.75,upgrade_via_b,46131
ordered_a_with_direct_ab,gate,0.75,direct_ab,1381
ordered_a_with_direct_ab,up,0.75,first_a,80475
ordered_a_with_direct_ab,up,0.75,upgrade_via_b,28000
ordered_a_with_direct_ab,down,0.75,first_a,13428
ordered_a_with_direct_ab,down,0.75,direct_ab,1193
ordered_a_with_direct_ab,down,0.75,upgrade_via_b,8347
ordered_a_with_direct_ab,gate,1.0,first_a,94683
ordered_a_with_direct_ab,gate,1.0,upgrade_via_b,73607
ordered_a_with_direct_ab,gate,1.0,direct_ab,2082
ordered_a_with_direct_ab,up,1.0,first_a,97932
ordered_a_with_direct_ab,up,1.0,upgrade_via_b,42268
ordered_a_with_direct_ab,down,1.0,first_a,15678
ordered_a_with_direct_ab,down,1.0,direct_ab,1505
ordered_a_with_direct_ab,down,1.0,upgrade_via_b,10539
ordered_a_with_direct_ab,gate,1.25,first_a,112795
ordered_a_with_direct_ab,gate,1.25,upgrade_via_b,94756
ordered_a_with_direct_ab,gate,1.25,direct_ab,2664
ordered_a_with_direct_ab,up,1.25,first_a,118039
ordered_a_with_direct_ab,up,1.25,upgrade_via_b,66676
ordered_a_with_direct_ab,down,1.25,first_a,17955
ordered_a_with_direct_ab,down,1.25,direct_ab,1836
ordered_a_with_direct_ab,down,1.25,upgrade_via_b,13211
ordered_a_with_direct_ab,gate,1.5,first_a,125632
ordered_a_with_direct_ab,gate,1.5,upgrade_via_b,112922
ordered_a_with_direct_ab,gate,1.5,direct_ab,3279
ordered_a_with_direct_ab,up,1.5,first_a,134798
ordered_a_with_direct_ab,up,1.5,upgrade_via_b,98527
ordered_a_with_direct_ab,down,1.5,first_a,20661
ordered_a_with_direct_ab,down,1.5,direct_ab,2250
ordered_a_with_direct_ab,down,1.5,upgrade_via_b,16203
ordered_a_with_direct_ab,gate,2.0,first_a,139585
ordered_a_with_direct_ab,gate,2.0,upgrade_via_b,139585
ordered_a_with_direct_ab,gate,2.0,direct_ab,3689
ordered_a_with_direct_ab,up,2.0,first_a,143274
ordered_a_with_direct_ab,up,2.0,upgrade_via_b,143274
ordered_a_with_direct_ab,down,2.0,first_a,28052
ordered_a_with_direct_ab,down,2.0,direct_ab,3869
ordered_a_with_direct_ab,down,2.0,upgrade_via_b,28052
ordered_a_with_direct_ab,up,0.25,first_a,26372
ordered_a_with_direct_ab,up,0.25,upgrade_via_b,5359
bidirectional_ab_no_direct,gate,0.25,first_a,21229
bidirectional_ab_no_direct,gate,0.25,upgrade_via_b,11011
bidirectional_ab_no_direct,down,0.25,first_a,7248
bidirectional_ab_no_direct,down,0.25,upgrade_via_b,3399
bidirectional_ab_no_direct,down,0.25,first_b,41
bidirectional_ab_no_direct,down,0.25,upgrade_via_a,41
bidirectional_ab_no_direct,gate,0.5,first_a,40926
bidirectional_ab_no_direct,gate,0.5,upgrade_via_b,25603
bidirectional_ab_no_direct,up,0.5,first_a,55737
bidirectional_ab_no_direct,up,0.5,upgrade_via_b,15393
bidirectional_ab_no_direct,down,0.5,first_a,11849
bidirectional_ab_no_direct,down,0.5,upgrade_via_b,6983
bidirectional_ab_no_direct,down,0.5,first_b,97
bidirectional_ab_no_direct,down,0.5,upgrade_via_a,95
bidirectional_ab_no_direct,gate,0.75,first_a,66770
bidirectional_ab_no_direct,gate,0.75,upgrade_via_b,47864
bidirectional_ab_no_direct,up,0.75,first_a,79923
bidirectional_ab_no_direct,up,0.75,upgrade_via_b,27528
bidirectional_ab_no_direct,down,0.75,first_a,14564
bidirectional_ab_no_direct,down,0.75,upgrade_via_b,9507
bidirectional_ab_no_direct,down,0.75,first_b,122
bidirectional_ab_no_direct,down,0.75,upgrade_via_a,122
bidirectional_ab_no_direct,gate,1.0,first_a,94829
bidirectional_ab_no_direct,gate,1.0,upgrade_via_b,74554
bidirectional_ab_no_direct,up,1.0,first_a,99059
bidirectional_ab_no_direct,up,1.0,upgrade_via_b,43700
bidirectional_ab_no_direct,down,1.0,first_a,17087
bidirectional_ab_no_direct,down,1.0,upgrade_via_b,11935
bidirectional_ab_no_direct,down,1.0,first_b,163
bidirectional_ab_no_direct,down,1.0,upgrade_via_a,161
bidirectional_ab_no_direct,gate,1.25,first_a,117775
bidirectional_ab_no_direct,gate,1.25,upgrade_via_b,100731
bidirectional_ab_no_direct,up,1.25,first_a,118294
bidirectional_ab_no_direct,up,1.25,upgrade_via_b,65398
bidirectional_ab_no_direct,down,1.25,first_a,19120
bidirectional_ab_no_direct,down,1.25,upgrade_via_b,14113
bidirectional_ab_no_direct,down,1.25,first_b,183
bidirectional_ab_no_direct,down,1.25,upgrade_via_a,183
bidirectional_ab_no_direct,gate,1.5,first_a,129480
bidirectional_ab_no_direct,gate,1.5,upgrade_via_b,117167
bidirectional_ab_no_direct,up,1.5,first_a,134070
bidirectional_ab_no_direct,up,1.5,upgrade_via_b,97208
bidirectional_ab_no_direct,down,1.5,first_a,22727
bidirectional_ab_no_direct,down,1.5,upgrade_via_b,18302
bidirectional_ab_no_direct,down,1.5,first_b,225
bidirectional_ab_no_direct,down,1.5,upgrade_via_a,225
bidirectional_ab_no_direct,gate,2.0,first_a,143274
bidirectional_ab_no_direct,gate,2.0,upgrade_via_b,143274
bidirectional_ab_no_direct,up,2.0,first_a,143274
bidirectional_ab_no_direct,up,2.0,upgrade_via_b,143274
bidirectional_ab_no_direct,down,2.0,first_a,31413
bidirectional_ab_no_direct,down,2.0,upgrade_via_b,31405
bidirectional_ab_no_direct,down,2.0,first_b,418
bidirectional_ab_no_direct,down,2.0,upgrade_via_a,418
bidirectional_ab_no_direct,up,0.25,first_a,26308
bidirectional_ab_no_direct,up,0.25,upgrade_via_b,5423
